Z 	 eigenvectors  (x = 0.0, y = 0.0)
4.0	[3,6]((-4.86318e-09,4.38299e-08,-1.93668e-07,2.89261e-08,1.48708e-05,1.6528e-08),(-6.65829e-08,-5.39285e-06,3.72441e-09,-1.68435e-05,4.57e-08,-1.05746e-05),(5.76178e-06,5.89125e-08,-3.49229e-06,-8.39485e-09,3.8811e-05,2.44658e-07))
8.0	[3,6]((-3.02643e-07,8.54206e-08,-6.69029e-07,1.08327e-07,4.51723e-05,3.69791e-08),(-1.22075e-07,-1.03925e-05,6.74293e-09,-5.60949e-05,1.18673e-07,-2.11595e-05),(8.97225e-06,7.03986e-08,-1.02099e-05,-5.24996e-09,8.87956e-05,4.21526e-07))
12.0	[3,6]((-9.71055e-07,1.16297e-07,-1.32425e-06,2.29398e-07,9.03039e-05,5.19766e-08),(-1.80945e-07,-1.48301e-05,9.37922e-09,-0.000114341,2.25861e-07,-3.18332e-05),(1.12109e-05,6.88968e-08,-1.89584e-05,1.64321e-10,0.000146156,5.51443e-07))
16.0	[3,6]((-1.62603e-06,1.45771e-07,-2.10886e-06,3.87617e-07,0.000149612,6.60615e-08),(-2.377e-07,-1.87718e-05,1.1612e-08,-0.000189452,3.65096e-07,-4.23886e-05),(1.33272e-05,6.91143e-08,-2.92066e-05,6.7381e-09,0.000208191,6.58483e-07))
20.0	[3,6]((-2.35952e-06,1.7293e-07,-2.98623e-06,5.79652e-07,0.000222357,7.92722e-08),(-2.92192e-07,-2.23106e-05,1.35472e-08,-0.000279772,5.34387e-07,-5.28419e-05),(1.51659e-05,6.91413e-08,-4.0578e-05,1.45632e-08,0.00027249,7.47172e-07))
24.0	[3,6]((-3.14446e-06,1.97928e-07,-3.92882e-06,8.02683e-07,0.000307781,9.18655e-08),(-3.4506e-07,-2.55169e-05,1.52619e-08,-0.000383903,7.31898e-07,-6.31553e-05),(1.67966e-05,6.69132e-08,-5.27735e-05,2.3454e-08,0.000336903,8.23562e-07))
28.0	[3,6]((-3.97831e-06,2.20946e-07,-4.91538e-06,1.0542e-06,0.000405153,1.03728e-07),(-3.95289e-07,-2.83986e-05,1.68313e-08,-0.000500625,9.56064e-07,-7.33091e-05),(1.82412e-05,6.47097e-08,-6.55521e-05,3.31994e-08,0.000399642,8.86473e-07))
32.0	[3,6]((-4.86416e-06,2.41718e-07,-5.92904e-06,1.33191e-06,0.000513775,1.15552e-07),(-4.43146e-07,-3.09859e-05,1.83136e-08,-0.000628799,1.2051e-06,-8.33173e-05),(1.9523e-05,6.17248e-08,-7.87211e-05,4.34859e-08,0.000459222,9.39347e-07))
36.0	[3,6]((-5.74196e-06,2.60678e-07,-6.95631e-06,1.63346e-06,0.000632996,1.27405e-07),(-4.87971e-07,-3.32689e-05,1.96951e-08,-0.000767279,1.47718e-06,-9.30456e-05),(2.0693e-05,5.90307e-08,-9.21276e-05,5.41505e-08,0.00051444,9.80601e-07))
40.0	[3,6]((-6.941e-06,2.7463e-07,-7.98334e-06,1.95633e-06,0.000762053,1.39355e-07),(-5.27684e-07,-3.51552e-05,2.12119e-08,-0.000914879,1.77169e-06,-0.00010301),(2.15228e-05,5.64116e-08,-0.000105647,6.51455e-08,0.000564204,1.0119e-06))
